player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
642086,"Smith, Dominic",88.8,14.6,7.2,0.285,0.341
686555,"Collins, Isaac",88.5,18.5,7.2,0.22,0.306
608348,"Kelly, Carson",88.8,13.9,6.6,0.252,0.319
592626,"Pederson, Joc",91.6,15.0,9.5,0.252,0.348
691594,"Sanoja, Javier",87.1,10.7,1.5,0.235,0.263
678554,"Mead, Curtis",88.9,15.7,10.9,0.262,0.366
680869,"Gelof, Zack",88.9,17.8,8.1,0.221,0.288
804606,"Griffin, Konnor",87.3,5.5,8.1,0.237,0.303
663616,"Larnach, Trevor",86.3,13.1,6.0,0.237,0.316
666152,"Hamilton, David",86.3,13.3,3.7,0.204,0.271
605170,"Caratini, Victor",89.1,11.6,6.8,0.251,0.339
671289,"Freeman, Tyler",87.5,10.2,1.5,0.274,0.325
686681,"Massey, Michael",91.0,19.5,8.5,0.226,0.284
669357,"Gorman, Nolan",89.3,22.3,9.2,0.197,0.279
573262,"Yastrzemski, Mike",90.6,15.6,3.8,0.226,0.288
699912,"Fernandez, Jose",87.9,11.6,3.9,0.243,0.276
672761,"Pérez, Wenceel",87.5,16.4,7.8,0.205,0.272
664728,"Isbel, Kyle",88.6,13.0,3.1,0.237,0.275
606192,"Hernández, Teoscar",89.8,12.4,10.9,0.259,0.339
672515,"Moreno, Gabriel",89.6,13.8,10.2,0.269,0.364
686527,"Canzone, Dominic",93.2,13.3,16.4,0.297,0.39
701675,"Church, Nathan",85.8,10.1,8.6,0.238,0.284
605141,"Betts, Mookie",90.0,18.5,9.4,0.268,0.332
542303,"Ozuna, Marcell",89.5,21.8,7.9,0.225,0.305
668709,"Bleday, JJ",90.0,21.5,11.9,0.273,0.384
650402,"Torres, Gleyber",85.3,7.1,7.9,0.257,0.345
502671,"Goldschmidt, Paul",87.5,16.2,11.1,0.276,0.365
670042,"Raley, Luke",90.7,16.0,16.7,0.258,0.359
660688,"Ruiz, Keibert",89.6,17.8,6.4,0.222,0.267
608369,"Seager, Corey",91.2,11.9,15.2,0.231,0.336
592663,"Realmuto, J.T.",88.8,10.7,4.8,0.251,0.32
