player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
687330,"Kelly, Kevin",90.8,0.5,8.3,0.248,0.292
596001,"Junis, Jakob",86.3,11.7,3.6,0.25,0.289
682243,"Miller, Bryce",86.2,17.1,6.0,0.196,0.242
641835,"Mayza, Tim",89.1,7.1,6.0,0.244,0.292
669438,"Englert, Mason",89.5,19.1,10.7,0.28,0.349
656222,"Beeks, Jalen",90.6,13.7,10.7,0.282,0.363
666142,"Ragans, Cole",89.6,20.2,15.7,0.218,0.345
670167,"Schreiber, John",89.2,11.2,7.2,0.261,0.328
621383,"Banks, Tanner",86.6,14.2,2.4,0.239,0.291
596133,"Weaver, Luke",88.8,17.4,9.6,0.218,0.285
680570,"Rodriguez, Grayson",91.7,16.8,10.8,0.314,0.4
676775,"Winn, Keaton",85.9,8.7,4.8,0.231,0.289
663574,"Santillan, Tony",91.8,15.7,12.2,0.265,0.366
663158,"Suarez, Robert",84.3,10.4,3.7,0.242,0.271
670280,"Bednar, David",87.4,4.0,3.7,0.213,0.266
657097,"Webb, Jacob",90.3,13.5,8.5,0.246,0.309
670036,"Festa, Matt",87.1,23.0,8.5,0.216,0.299
676617,"O'Brien, Riley",88.1,3.2,4.9,0.245,0.316
696147,"Bachman, Sam",86.8,8.3,4.9,0.201,0.282
668674,"Erceg, Lucas",87.0,9.4,6.1,0.245,0.325
681402,"Varland, Gus",93.4,20.7,13.4,0.29,0.368
642528,"Loáisiga, Jonathan",87.9,9.7,4.9,0.249,0.301
666808,"Doval, Camilo",90.8,6.7,3.7,0.23,0.263
675512,"Melton, Troy",89.3,12.8,6.2,0.272,0.325
680802,"Weiss, Ryan",90.3,16.8,11.1,0.269,0.38
643410,"Leiter Jr., Mark",87.1,16.2,3.7,0.277,0.318
592094,"Adam, Jason",88.5,11.1,6.2,0.228,0.292
663738,"Lynch IV, Daniel",86.9,11.0,5.0,0.202,0.263
663558,"Morán, Jovani",88.2,17.1,8.8,0.185,0.271
646241,"De Jesus, Enmanuel",90.5,14.9,7.6,0.25,0.319
815083,"Farris, Mitch",87.1,15.5,6.3,0.242,0.319
663362,"Waldron, Matt",89.8,17.0,7.6,0.229,0.306
656641,"Latz, Jacob",89.3,17.3,6.4,0.168,0.236
668873,"Kilian, Caleb",87.9,15.6,9.0,0.223,0.307
669711,"Weissert, Greg",87.0,9.8,5.1,0.217,0.288
621366,"Borucki, Ryan",88.3,14.2,5.1,0.253,0.311
676571,"Poulin, PJ",92.3,14.0,11.5,0.263,0.377
676534,"Faucher, Calvin",88.7,6.0,5.1,0.239,0.322
519141,"Pomeranz, Drew",87.8,27.0,7.7,0.255,0.334
615698,"Quantrill, Cal",87.0,18.8,10.3,0.257,0.349
641755,"Kinley, Tyler",85.0,20.0,6.5,0.193,0.269
666171,"Zeferjahn, Ryan",89.0,13.6,5.3,0.186,0.302
681982,"Anderson, Grant",87.5,21.2,6.6,0.202,0.265
676263,"Dreyer, Jack",89.7,14.4,9.2,0.226,0.292
453286,"Scherzer, Max",89.2,23.4,13.2,0.272,0.378
664875,"Lawrence, Justin",90.1,13.0,11.8,0.273,0.381
667463,"King, John",88.2,11.2,8.0,0.205,0.282
694361,"Klein, Will",90.3,6.4,2.7,0.234,0.268
592773,"Stanek, Ryne",90.6,13.1,8.0,0.223,0.317
607074,"Rodón, Carlos",89.6,14.1,5.3,0.184,0.286
671922,"Smith, Cade",92.0,14.0,8.1,0.198,0.239
656546,"Hoffman, Jeff",87.3,8.6,6.8,0.218,0.278
683175,"Phillips, Connor",89.8,20.8,9.5,0.24,0.378
689254,"Fluharty, Mason",85.9,16.7,6.8,0.189,0.257
594580,"Moll, Sam",87.2,8.6,5.4,0.206,0.304
656464,"Ginkel, Kevin",90.2,12.7,8.2,0.217,0.262
672335,"Pérez, Cionel",92.2,1.8,15.1,0.286,0.397
621237,"Alvarado, José",87.8,19.4,4.1,0.235,0.302
657044,"Thompson, Ryan",89.3,11.4,5.5,0.267,0.313
669211,"Akin, Keegan",87.0,19.8,6.9,0.29,0.335
642397,"Soto, Gregory",85.2,12.3,5.6,0.187,0.262
689147,"Kerkering, Orion",82.0,18.1,5.6,0.17,0.245
677955,"Hill, Jaden",89.7,12.6,4.2,0.252,0.324
681895,"Sisk, Evan",84.7,15.9,2.8,0.174,0.248
657424,"Gage, Matt",85.6,11.7,5.7,0.236,0.316
656945,"Scott, Tanner",88.7,19.8,8.6,0.23,0.27
694346,"Gibson, Trey",89.8,8.2,11.4,0.286,0.389
669622,"Bender, Anthony",88.9,10.5,7.1,0.195,0.258
656848,"Petersen, Michael",90.9,22.1,11.4,0.187,0.28
676428,"Hurter, Brant",87.5,2.3,4.3,0.235,0.304
682254,"Montgomery, Mason",87.8,9.5,8.6,0.234,0.314
669276,"Lee, Dylan",87.1,20.0,4.3,0.174,0.212
518585,"Cruz, Fernando",85.4,23.5,5.7,0.177,0.275
682608,"Gray, Peyton",87.5,21.4,8.6,0.252,0.305
664208,"Maton, Phil",88.5,9.6,10.1,0.269,0.355
800311,"Fuentes, Didier",88.3,16.4,4.3,0.204,0.263
641329,"Baker, Bryan",85.7,14.7,5.8,0.192,0.264
669084,"Hall, DL",86.2,11.2,5.8,0.203,0.307
682120,"Herrin, Tim",86.7,18.2,7.2,0.192,0.296
682842,"Uribe, Abner",87.8,10.1,2.9,0.227,0.269
689441,"Crow, Coleman",89.2,17.2,7.4,0.269,0.34
681810,"Warren, Austin",90.3,15.3,13.2,0.258,0.329
642232,"Yarbrough, Ryan",83.0,15.9,2.9,0.205,0.264
623437,"Topa, Justin",91.2,6.1,8.8,0.291,0.376
